,username,tweet,date,name,creation,followers,following
0,admzawa,"@SherazadeSmh Y a Bcp de folle on le sait tqt pas pas besoin de toutes vous manifester, tu peux retourner à ta dépression pcq ton buzz a duré 20 min, pas de soucis rendors toi",Mon Oct 20 18:50:00 +0000 2025,Adam🇵🇸,Tue May 17 19:16:46 +0000 2022,14,129
1,zipetteenfolie,Le mec qui a inventé la depression viens discuter 3min en dm gros fils de pute va,Mon Oct 20 18:49:21 +0000 2025,3pm.mvt,Tue Jan 01 14:37:58 +0000 2019,284,1053
2,Tej4s27,Post Travis concert depression,Mon Oct 20 18:48:00 +0000 2025,kami,Sat Jan 20 08:02:37 +0000 2024,726,397
3,ssclim77,Ce qu'une dépression peut faire à ta santé aussi wow,Mon Oct 20 18:47:45 +0000 2025,Moh 🇲🇦,Mon Dec 16 10:46:56 +0000 2024,838,458
4,koruxy1,@nominomm si elle était en depression ca explique les truc que fugu a dit quelle voulait ce suicidé  la depression c'est une maladie et le fait que fugu lui parle comme ca ou la calcule pas ca empire ca,Mon Oct 20 18:40:21 +0000 2025,koruxy,Mon Sep 19 06:38:06 +0000 2022,40,146
5,lochen_hsia,"C'est vraiment la galère de vivre sans thyroïde. 
On doit tjs réajuster la prise de médicament mais quand il faut 10 mois d'attente pour avoir un rdv avec un endocrinologue et ben on essaie de faire avec. (Fatigue extrême, dépression, pas de force pour le travail, tjrs froide)",Mon Oct 20 18:38:31 +0000 2025,Sun Wukong,Sun Nov 27 04:11:45 +0000 2022,51,223
6,rdemocrate,"“Dépression” n’est pas un mot pour dire “avoir le cafard”.  Ce n’est pas un manque de volonté. C’est une maladie qui vole le sommeil, le goût, le plaisir.  1 personne sur 5 la vivra.  Avant de juger, comprends. 🌱#SantéMentale #Dépression #Empathie https://t.co/Yi3MmecXW1",Mon Oct 20 18:36:42 +0000 2025,Renaud Democrate,Sat Sep 12 08:11:19 +0000 2009,17,153
7,sgrdno,dépression sévère ptn ta la proximité et ça veut implanter un nvx stade ds la campagne nn c grv faudra prendre 2 métro et 4 rer pr s’y rendre allez vs faire voir,Mon Oct 20 18:34:22 +0000 2025,𝘎𝘪𝘰𝘳𝘥𝘢𝘯𝘰,Mon Jun 30 09:52:47 +0000 2025,168,209
8,Triplemoonnstre,@alex_lrdr @andene18 Mdr attend il y a un truc j’ai mal compris je crois 😹 mais tabac alcool dépression ça orientait un peu pso je trouve sah,Mon Oct 20 18:32:24 +0000 2025,Azythromycine 92,Sat Mar 16 18:08:36 +0000 2019,525,799
9,Triplemoonnstre,@alex_lrdr @andene18 Mais depuis quand le lupus ÉRYTHÉMATEUX ça te fait des squames de fdp comme ça le pso + tabac/alcool/dépression cuir chevelu oreille et ils précisent pso du visage genre le pso du visage c’est littéralement diag diff de seborrheique pcq ça touche l’oreille,Mon Oct 20 18:28:12 +0000 2025,Azythromycine 92,Sat Mar 16 18:08:36 +0000 2019,525,799
10,trueparabellum,"quand ta vécu dans un des pires environnement pendant toute ta vie que t’es passer par des phases de dépression et partis en hôpital psychiatrique du à tout ce que tu vivais, je ne peux que lui souhaiter de se rétablir pleinement, Allah y chafih",Mon Oct 20 18:27:06 +0000 2025,ٍ,Sun Oct 12 16:29:09 +0000 2025,6,5
11,Vertigo361,@FerrariF1FRA @Charles_Leclerc Le seul rayon de soleil dans une saison en perpétuelle dépression... https://t.co/TL96leSnWF,Mon Oct 20 18:24:13 +0000 2025,ᴠᴇʀᴛɪɢᴏ,Sun Sep 13 11:43:49 +0000 2009,62,573
12,intcompo,@RobertBaincthun @Generations7080 Tu sais la dépression n'est pas une fatalité.,Mon Oct 20 18:22:15 +0000 2025,F.X,Sat Aug 25 08:17:38 +0000 2018,43,31
13,Alekk31_,Ça s’appelle la dépression 👍🏻,Mon Oct 20 18:20:16 +0000 2025,🇫🇷 Alek 🇵🇱,Wed May 15 08:51:39 +0000 2024,151,728
14,tearsofmilfs,40 personnes pr choisir une chanson et une affiche ia imo mm avec des maternelles on boucle ça en une aprem à peineeee💀 arrêtez de faire genre c le projet du siècle  jpp y’en a vous avez trop de temps à perdre tkt gaga elle va pas tomber en dépression sans ça,Mon Oct 20 18:19:02 +0000 2025,𓆩♥︎𓆪,Mon Jun 01 00:06:58 +0000 2015,3406,1213
15,so_di04,Je viens de comprendre qu’en 2021 j’ai vécu une terrible dépression mais j’etais trop jeune pour comprendre wow sans Dieu je suis quoi finalement ? Même quand ça ne va pas parler à Dieu il va vous sauver mes stars 💕💕💕💕💕,Mon Oct 20 18:16:47 +0000 2025,S💋,Thu Jul 18 21:07:21 +0000 2024,267,235
16,MrSeiNoel,Suspect joue tellement son va tout si avec ça il dépasse pas Himra pour être top 3 il va faire une dépression hein,Mon Oct 20 18:16:15 +0000 2025,CULTURE,Fri Jun 01 11:18:57 +0000 2012,2263,2277
17,mouiengros,"@Birdeyeyes J’expliquerai bien ça à mon père qui en est mort mais devines quoi ? Ni lui ni son père n’ont jamais jugé personne parce qu’ils se lavaient pas par dépression 
Arrêtez d’être agressif et de vous cacher derrière de fausses bonnes intentions, vous êtes juste apathiques et inhumains",Mon Oct 20 18:15:58 +0000 2025,lélé ✿ ✿ ✿,Sun May 31 22:30:51 +0000 2020,64,99
18,newtitofn,@ayasagiri_ @cotobot1 @iam_dvd Merci merci cependant je ne te demande pas en retour car vu la gueule du personnage on sait déjà que tu es très probablement une trans lesbienne qui est en dépression déscolarisé et/ou en phobie scolaire qui va voir une psy car elle veut se suicider (point commun avec helydia),Mon Oct 20 18:14:57 +0000 2025,titofn,Tue Aug 23 14:16:46 +0000 2022,1,24
19,DucNord43930,@Monstrecrypto @MessiahYaniss16 Tout ça pour finir avec 7 chats et une dépression,Mon Oct 20 18:14:25 +0000 2025,Duc du Nord,Sat Oct 28 23:37:34 +0000 2023,17,93
20,berkoukes_miw,"Y’a un gars qui criait à ses shab ""je pleure pas pour un chat"" par fierté je pense, dsl mais si je perds le mien je fini en dépression à chialer comme un enfant ptdrr",Mon Oct 20 18:08:08 +0000 2025,🇩🇿🇵🇸,Sat Aug 31 07:43:35 +0000 2024,64,66
21,ECCCMeteoON,"🌧️Le dimanche 19 octobre, une dépression a apporté de fortes pluies dans certaines régions du nord-est de l'Ontario et des températures douces dans le sud. De nouveaux records de température maximale quotidienne ont été établis.🌡️

Résumé complet👉https://t.co/nmHOTFLggI

#MétéON https://t.co/uRUV2oXpI0",Mon Oct 20 18:01:42 +0000 2025,ECCC Météo Ontario,Sat Feb 28 00:24:08 +0000 2015,813,40
22,malone52a,@TBT9_W9 Au moins il fait rire en France l autre tapette inutile nous met en depression,Mon Oct 20 18:00:59 +0000 2025,Danielle,Tue Nov 17 18:19:18 +0000 2015,623,1375
23,la_lmizz,"subhanAllah je vois ça comme une bénédiction l'épreuve reportée, j'étais en dépression,  je commençais à m'imaginer  méd G à limoges à cause de l'hémato😭 depuis que le doyen a annoncé l'annulation je fais que rigoler ptdrr",Mon Oct 20 17:59:01 +0000 2025,lmi🐝,Thu Aug 26 12:03:03 +0000 2021,152,332
24,Procrasthater,@BenderGlazer Depression park,Mon Oct 20 17:58:04 +0000 2025,Ugh,Tue Dec 14 03:42:03 +0000 2021,69,380
25,RudyMeteo,"🌀 L’onde tropicale dans l’est de la mer des Caraïbes s’organise. Une dépression ou tempête tropicale pourrait se former d’ici 1 à 2 jours (70% à 48h / 90% à 7j).
⚠️ Haïti, RD, Jamaïque, Cuba : risque de pluies intenses et inondations fin de semaine. https://t.co/xwIad8UnqU",Mon Oct 20 17:56:00 +0000 2025,Rudy Mr Meteo,Tue Apr 09 14:34:46 +0000 2013,6320,887
26,_s1lenn,"@s0um_bd @dearShenhe @Ruvinikk @hommesimple94 Oui donc c’est déprime et dépression, toi tu as dis « tomber en dépression et être dépressif »",Mon Oct 20 17:52:11 +0000 2025,!,Mon Dec 04 11:15:27 +0000 2023,12,73
27,Mouniejtm,@SeksekBLZC C’est sensé être un symptôme de détresse psychologique ( type dépression ) mais bon certains n’y connaissent pas grand chose 🤷‍♂️,Mon Oct 20 17:48:32 +0000 2025,Arcko29,Sun Jan 14 20:39:55 +0000 2024,15,37
28,AstoBenFit,@pasvrmntpierre C'est la grande dépression des plafonds chez les comunistes. Ca sera à 2000 avant d'avoir eu le temps de dire : taxe.,Mon Oct 20 17:48:20 +0000 2025,Motard TTC En Colère 💸,Wed Oct 14 10:11:41 +0000 2020,173,55
29,SaadMed96020198,@vista_213 Je fais une dépression,Mon Oct 20 17:47:54 +0000 2025,Saad Med,Thu May 02 19:09:10 +0000 2019,1504,935
30,Babarlebarbare4,La dépression me fatigue et le fait d'être fatigué me déprime. https://t.co/GO0xaeBZ2M,Mon Oct 20 17:47:37 +0000 2025,Babar le barbare.,Sat Apr 01 11:21:52 +0000 2023,1606,314
31,Yentter,"@ZalgoK @franceinfo Non t'es seul parce que t'es paranoïaque gars. Sors un peu de chez toi va parler a des gens ou a un.e psy, t'es juste en dépression.",Mon Oct 20 17:41:42 +0000 2025,Tweeclard,Thu May 28 08:34:54 +0000 2009,105,737
